tips,character,start,end
"Anchylorhynchus_imitator,Anchylorhynchus_amazonicus,Anchylorhynchus_camposi,Anchylorhynchus_rectus,Anchylorhynchus_centrosquamatus",96,1,0
"Anchylorhynchus_imitator,Anchylorhynchus_amazonicus,Anchylorhynchus_camposi,Anchylorhynchus_rectus,Anchylorhynchus_centrosquamatus,Anchylorhynchus_latipes",15,1,0
"Anchylorhynchus_imitator,Anchylorhynchus_amazonicus,Anchylorhynchus_camposi,Anchylorhynchus_rectus,Anchylorhynchus_centrosquamatus,Anchylorhynchus_latipes",33,0,1
"Anchylorhynchus_imitator,Anchylorhynchus_amazonicus,Anchylorhynchus_camposi,Anchylorhynchus_rectus,Anchylorhynchus_centrosquamatus,Anchylorhynchus_latipes",34,0,1
"Anchylorhynchus_imitator,Anchylorhynchus_amazonicus,Anchylorhynchus_camposi,Anchylorhynchus_rectus,Anchylorhynchus_centrosquamatus,Anchylorhynchus_latipes",60,2,3
"Anchylorhynchus_imitator,Anchylorhynchus_amazonicus,Anchylorhynchus_camposi,Anchylorhynchus_rectus,Anchylorhynchus_centrosquamatus,Anchylorhynchus_latipes",83,1,0
"Anchylorhynchus_imitator,Anchylorhynchus_amazonicus,Anchylorhynchus_camposi,Anchylorhynchus_rectus,Anchylorhynchus_centrosquamatus,Anchylorhynchus_latipes",84,1,0
"Anchylorhynchus_imitator,Anchylorhynchus_amazonicus,Anchylorhynchus_camposi,Anchylorhynchus_rectus,Anchylorhynchus_centrosquamatus,Anchylorhynchus_latipes",85,1,2
"Anchylorhynchus_imitator,Anchylorhynchus_amazonicus,Anchylorhynchus_camposi,Anchylorhynchus_rectus,Anchylorhynchus_centrosquamatus,Anchylorhynchus_latipes",86,0,1
"Anchylorhynchus_imitator,Anchylorhynchus_amazonicus,Anchylorhynchus_camposi,Anchylorhynchus_rectus,Anchylorhynchus_centrosquamatus,Anchylorhynchus_latipes",87,2,1
"Anchylorhynchus_imitator,Anchylorhynchus_amazonicus,Anchylorhynchus_camposi,Anchylorhynchus_rectus,Anchylorhynchus_centrosquamatus,Anchylorhynchus_latipes,Anchylorhynchus_trapezicollis",48,1,3
"Anchylorhynchus_imitator,Anchylorhynchus_amazonicus,Anchylorhynchus_camposi,Anchylorhynchus_rectus,Anchylorhynchus_centrosquamatus,Anchylorhynchus_latipes,Anchylorhynchus_trapezicollis",77,2,1
Anchylorhynchus_latipes,51,0,1
Anchylorhynchus_latipes,60,3,4
Anchylorhynchus_latipes,73,1,0
Anchylorhynchus_luteobrunneus,3,0,1
Anchylorhynchus_luteobrunneus,6,0,1
Anchylorhynchus_luteobrunneus,44,1,0
Anchylorhynchus_luteobrunneus,47,0,1
Anchylorhynchus_luteobrunneus,78,0,1
Anchylorhynchus_luteobrunneus,81,0,1
Anchylorhynchus_luteobrunneus,82,2,1
Anchylorhynchus_luteobrunneus,93,0,1
"Anchylorhynchus_luteobrunneus,Anchylorhynchus_pinnocchio,Anchylorhynchus_albidus,Anchylorhynchus_goiano,Anchylorhynchus_trapezicollis,Anchylorhynchus_latipes,Anchylorhynchus_centrosquamatus,Anchylorhynchus_rectus,Anchylorhynchus_camposi,Anchylorhynchus_imitator,Anchylorhynchus_amazonicus",28,1,2
"Anchylorhynchus_luteobrunneus,Anchylorhynchus_pinnocchio,Anchylorhynchus_albidus,Anchylorhynchus_goiano,Anchylorhynchus_trapezicollis,Anchylorhynchus_latipes,Anchylorhynchus_centrosquamatus,Anchylorhynchus_rectus,Anchylorhynchus_camposi,Anchylorhynchus_imitator,Anchylorhynchus_amazonicus",34,1,0
"Anchylorhynchus_luteobrunneus,Anchylorhynchus_pinnocchio,Anchylorhynchus_albidus,Anchylorhynchus_goiano,Anchylorhynchus_trapezicollis,Anchylorhynchus_latipes,Anchylorhynchus_centrosquamatus,Anchylorhynchus_rectus,Anchylorhynchus_camposi,Anchylorhynchus_imitator,Anchylorhynchus_amazonicus",38,0,1
"Anchylorhynchus_luteobrunneus,Anchylorhynchus_pinnocchio,Anchylorhynchus_albidus,Anchylorhynchus_goiano,Anchylorhynchus_trapezicollis,Anchylorhynchus_latipes,Anchylorhynchus_centrosquamatus,Anchylorhynchus_rectus,Anchylorhynchus_camposi,Anchylorhynchus_imitator,Anchylorhynchus_amazonicus",62,0,1
Anchylorhynchus_minimus,21,0,1
Anchylorhynchus_minimus,30,2,0
Anchylorhynchus_minimus,77,2,1
Anchylorhynchus_multisquamis,18,2,0
Anchylorhynchus_multisquamis,51,0,1
Anchylorhynchus_multisquamis,58,2,1
Anchylorhynchus_multisquamis,73,1,0
Anchylorhynchus_multisquamis,87,2,1
Anchylorhynchus_multisquamis,92,0,1
Anchylorhynchus_multisquamis,95,0,1
"Anchylorhynchus_multisquamis,Anchylorhynchus_burmeisteri",20,1,0
"Anchylorhynchus_multisquamis,Anchylorhynchus_burmeisteri",48,2,3
"Anchylorhynchus_multisquamis,Anchylorhynchus_burmeisteri",49,0,1
"Anchylorhynchus_multisquamis,Anchylorhynchus_burmeisteri",50,2,3
"Anchylorhynchus_multisquamis,Anchylorhynchus_burmeisteri",56,1,0
"Anchylorhynchus_multisquamis,Anchylorhynchus_burmeisteri",72,2,3
"Anchylorhynchus_multisquamis,Anchylorhynchus_burmeisteri",83,0,2
Anchylorhynchus_parcus,0,2,1
Anchylorhynchus_parcus,14,0,2
Anchylorhynchus_parcus,48,2,1
Anchylorhynchus_parcus,62,0,1
Anchylorhynchus_parcus,64,1,0
Anchylorhynchus_parcus,76,1,0
Anchylorhynchus_parcus,77,2,1
Anchylorhynchus_parcus,85,2,3
Anchylorhynchus_pinnocchio,1,0,1
Anchylorhynchus_pinnocchio,5,1,0
Anchylorhynchus_pinnocchio,15,1,2
Anchylorhynchus_pinnocchio,16,0,1
Anchylorhynchus_pinnocchio,34,0,2
Anchylorhynchus_pinnocchio,47,0,1
Anchylorhynchus_pinnocchio,49,0,1
Anchylorhynchus_pinnocchio,58,2,1
Anchylorhynchus_pinnocchio,72,2,3
Anchylorhynchus_pinnocchio,81,0,1
Anchylorhynchus_pinnocchio,82,2,0
Anchylorhynchus_pinnocchio,92,0,1
Anchylorhynchus_pinnocchio,93,0,1
"Anchylorhynchus_pinnocchio,Anchylorhynchus_albidus",0,2,3
"Anchylorhynchus_pinnocchio,Anchylorhynchus_albidus",3,0,2
"Anchylorhynchus_pinnocchio,Anchylorhynchus_albidus",11,0,1
"Anchylorhynchus_pinnocchio,Anchylorhynchus_albidus,Anchylorhynchus_goiano,Anchylorhynchus_trapezicollis,Anchylorhynchus_latipes,Anchylorhynchus_centrosquamatus,Anchylorhynchus_rectus,Anchylorhynchus_camposi,Anchylorhynchus_imitator,Anchylorhynchus_amazonicus",40,2,1
"Anchylorhynchus_pinnocchio,Anchylorhynchus_albidus,Anchylorhynchus_goiano,Anchylorhynchus_trapezicollis,Anchylorhynchus_latipes,Anchylorhynchus_centrosquamatus,Anchylorhynchus_rectus,Anchylorhynchus_camposi,Anchylorhynchus_imitator,Anchylorhynchus_amazonicus",65,1,0
"Anchylorhynchus_pinnocchio,Anchylorhynchus_albidus,Anchylorhynchus_goiano,Anchylorhynchus_trapezicollis,Anchylorhynchus_latipes,Anchylorhynchus_centrosquamatus,Anchylorhynchus_rectus,Anchylorhynchus_camposi,Anchylorhynchus_imitator,Anchylorhynchus_amazonicus",89,1,2
Anchylorhynchus_rectus,20,0,1
Anchylorhynchus_rectus,21,0,1
Anchylorhynchus_rectus,83,0,1
Anchylorhynchus_rectus,84,0,1
Anchylorhynchus_trapezicollis,35,1,0
Anchylorhynchus_tremolerasi,7,0,2/3
Anchylorhynchus_tremolerasi,44,1,2
Anchylorhynchus_tremolerasi,45,1,0
Anchylorhynchus_tremolerasi,74,0,1
Anchylorhynchus_tremolerasi,88,0,1
Anchylorhynchus_tremolerasi,104,1,2
Anchylorhynchus_tricarinatus,19,2,4
Anchylorhynchus_tricarinatus,26,1,0
Anchylorhynchus_tricarinatus,33,1,2
Anchylorhynchus_tricarinatus,38,0,1
Anchylorhynchus_tricarinatus,41,1,2
Anchylorhynchus_tricarinatus,45,1,2
Anchylorhynchus_tricarinatus,48,1,3
Anchylorhynchus_tricarinatus,72,2,3
Anchylorhynchus_tricarinatus,81,0,1
Anchylorhynchus_tricarinatus,89,1,2
Anchylorhynchus_tricarinatus,93,0,1
Anchylorhynchus_tricarinatus,102,1,4
Anchylorhynchus_vanini,8,1,0
Anchylorhynchus_vanini,19,2,3
Anchylorhynchus_vanini,26,1,0
Anchylorhynchus_vanini,27,2,0
Anchylorhynchus_vanini,30,2,3
Anchylorhynchus_vanini,43,2,1
Anchylorhynchus_vanini,53,1,0
Anchylorhynchus_vanini,54,0,1
Anchylorhynchus_vanini,72,2,0
Anchylorhynchus_vanini,83,1,0
Anchylorhynchus_vanini,85,0,4
Anchylorhynchus_vanini,90,1,2
Anchylorhynchus_variabilis,31,1,0
Anchylorhynchus_variabilis,33,1,0
Anchylorhynchus_variabilis,41,1,2
Anchylorhynchus_variabilis,67,0,1
Anchylorhynchus_variabilis,70,0,1
Anchylorhynchus_variabilis,73,1,0
Anchylorhynchus_variabilis,81,0,1
Anchylorhynchus_variabilis,89,2,3
Anchylorhynchus_variabilis,90,1,2
Anchylorhynchus_variabilis,92,1,0
"Anchylorhynchus_variabilis,Anchylorhynchus_vittipennis",18,0,1
"Anchylorhynchus_variabilis,Anchylorhynchus_vittipennis",20,0,1
"Anchylorhynchus_variabilis,Anchylorhynchus_vittipennis",24,1,2
"Anchylorhynchus_variabilis,Anchylorhynchus_vittipennis",35,1,0
"Anchylorhynchus_variabilis,Anchylorhynchus_vittipennis",38,0,1
"Anchylorhynchus_variabilis,Anchylorhynchus_vittipennis",48,1,3
"Anchylorhynchus_variabilis,Anchylorhynchus_vittipennis",85,0,1
"Anchylorhynchus_variabilis,Anchylorhynchus_vittipennis",93,0,1
Anchylorhynchus_vittipennis,21,1,0
Anchylorhynchus_vittipennis,26,1,0
Anchylorhynchus_vittipennis,52,1,0
Anchylorhynchus_vittipennis,53,1,0
Anchylorhynchus_vittipennis,56,2,1
